1. chicken nuggets, price: 5.4
2. apple juice, price: 1.0
3. cheesecake, price: 3.65
4. cake, price: 6.0
5. steak, price: 5.6
6. soup, price: 4.7
7. chicken nuggets, price: 5.4
8. apple juice, price: 1.0
9. cheesecake, price: 3.65
10. cake, price: 6.0
11. steak, price: 5.6
12. soup, price: 4.7
13. chicken nuggets, price: 5.4
14. apple juice, price: 1.0
15. cheesecake, price: 3.65
16. cake, price: 6.0
17. steak, price: 5.6
18. soup, price: 4.7
19. chicken nuggets, price: 5.4
20. apple juice, price: 1.0
21. cheesecake, price: 3.65
22. cake, price: 6.0
23. steak, price: 5.6
24. soup, price: 4.7
25. chicken nuggets, price: 5.4
26. apple juice, price: 1.0
27. cheesecake, price: 3.65
28. cake, price: 6.0
29. steak, price: 5.6
30. soup, price: 4.7
31. chicken nuggets, price: 5.4
32. apple juice, price: 1.0
33. cheesecake, price: 3.65
34. cake, price: 6.0
35. steak, price: 5.6
36. soup, price: 4.7
37. chicken nuggets, price: 5.4
38. apple juice, price: 1.0
39. cheesecake, price: 3.65
40. cake, price: 6.0
41. steak, price: 5.6
42. soup, price: 4.7
43. chicken nuggets, price: 5.4
44. apple juice, price: 1.0
45. cheesecake, price: 3.65
46. cake, price: 6.0
47. steak, price: 5.6
48. soup, price: 4.7
49. chicken nuggets, price: 5.4
50. apple juice, price: 1.0
51. cheesecake, price: 3.65
52. cake, price: 6.0
53. steak, price: 5.6
54. soup, price: 4.7
55. chicken nuggets, price: 5.4
56. apple juice, price: 1.0
57. cheesecake, price: 3.65
58. cake, price: 6.0
59. steak, price: 5.6
60. soup, price: 4.7
61. chicken nuggets, price: 5.4
62. apple juice, price: 1.0
63. cheesecake, price: 3.65
64. cake, price: 6.0
65. steak, price: 5.6
66. soup, price: 4.7
67. chicken nuggets, price: 5.4
68. apple juice, price: 1.0
69. cheesecake, price: 3.65
70. cake, price: 6.0
71. steak, price: 5.6
72. soup, price: 4.7
73. chicken nuggets, price: 5.4
74. apple juice, price: 1.0
75. cheesecake, price: 3.65
76. cake, price: 6.0
77. steak, price: 5.6
78. soup, price: 4.7
79. chicken nuggets, price: 5.4
80. apple juice, price: 1.0
81. cheesecake, price: 3.65
82. cake, price: 6.0
83. steak, price: 5.6
84. soup, price: 4.7
85. chicken nuggets, price: 5.4
86. apple juice, price: 1.0
87. cheesecake, price: 3.65
88. cake, price: 6.0
89. steak, price: 5.6
90. soup, price: 4.7
91. chicken nuggets, price: 5.4
92. apple juice, price: 1.0
93. cheesecake, price: 3.65
94. cake, price: 6.0
95. steak, price: 5.6
96. soup, price: 4.7
97. chicken nuggets, price: 5.4
98. apple juice, price: 1.0
99. cheesecake, price: 3.65
100. cake, price: 6.0
101. steak, price: 5.6
102. soup, price: 4.7
103. chicken nuggets, price: 5.4
104. apple juice, price: 1.0
105. cheesecake, price: 3.65
106. cake, price: 6.0
107. steak, price: 5.6
108. soup, price: 4.7
109. chicken nuggets, price: 5.4
110. apple juice, price: 1.0
111. cheesecake, price: 3.65
112. cake, price: 6.0
113. steak, price: 5.6
114. soup, price: 4.7
115. chicken nuggets, price: 5.4
116. apple juice, price: 1.0
117. cheesecake, price: 3.65
118. cake, price: 6.0
119. steak, price: 5.6
120. soup, price: 4.7
121. chicken nuggets, price: 5.4
122. apple juice, price: 1.0
123. cheesecake, price: 3.65
124. cake, price: 6.0
125. steak, price: 5.6
126. soup, price: 4.7
127. chicken nuggets, price: 5.4
128. apple juice, price: 1.0
129. cheesecake, price: 3.65
130. cake, price: 6.0
131. steak, price: 5.6
132. soup, price: 4.7
133. chicken nuggets, price: 5.4
134. apple juice, price: 1.0
135. cheesecake, price: 3.65
136. cake, price: 6.0
137. steak, price: 5.6
138. soup, price: 4.7
139. chicken nuggets, price: 5.4
140. apple juice, price: 1.0
141. cheesecake, price: 3.65
142. cake, price: 6.0
143. steak, price: 5.6
144. soup, price: 4.7
145. chicken nuggets, price: 5.4
146. apple juice, price: 1.0
147. cheesecake, price: 3.65
148. cake, price: 6.0
149. steak, price: 5.6
150. soup, price: 4.7
151. chicken nuggets, price: 5.4
152. apple juice, price: 1.0
153. cheesecake, price: 3.65
154. cake, price: 6.0
155. steak, price: 5.6
156. soup, price: 4.7
157. chicken nuggets, price: 5.4
158. apple juice, price: 1.0
159. cheesecake, price: 3.65
160. cake, price: 6.0
161. steak, price: 5.6
162. soup, price: 4.7
163. chicken nuggets, price: 5.4
164. apple juice, price: 1.0
165. cheesecake, price: 3.65
166. cake, price: 6.0
